,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
160,MYSTIC WINE SHOPPE,901 MASS AVE,ARLINGTON,"$27,201.50","$18,445.25","$27,201.50","$23,749.75","$17,940.25"
161,PETER PAN SUPERETTE,2 PARK AVE,ARLINGTON,"$2,247,307.00","$1,746,059.50","$2,247,307.00","$2,198,152.75","$1,945,215.50"
162,STOP & SHOP #776,905 MASS AVE,ARLINGTON,"$633,396.00","$569,052.75","$633,396.00","$603,228.00","$593,156.00"
163,SYMMES MINI MART,681 MASSACHUSETTS AVENUE,ARLINGTON,"$1,134,962.50","$1,216,072.50","$1,134,962.50","$1,312,959.75","$1,327,662.00"
164,AMER LEGION POST 142,132 WILLIAMS ROAD,ASHBURNHAM,"$102,004.00","$142,837.00","$102,004.00","$111,047.00","$129,605.00"
165,ASHBURNHAM HARDWARE,41 MAIN STREET,ASHBURNHAM,"$175,113.25","$250,845.75","$175,113.25","$137,229.00","$12,687.00"
166,ASHBURNHAM MARKET PLACE,50 REAR MAIN ST,ASHBURNHAM,"$132,819.00","$27,232.50","$132,819.00","$102,450.25","$115,814.50"
167,ASHBURNHAM WINE & SPIRITS,3 MEMORIAL DR,ASHBURNHAM,"$149,579.00","$140,673.25","$149,579.00","$146,774.75","$148,365.50"
168,COUNTRYLAND MINI MART,67 MAIN STREET,ASHBURNHAM,"$1,083,038.25","$1,560,129.25","$1,083,038.25","$1,105,003.00","$901,265.00"
169,TURNPIKE ROD & GUN CLUB,94 COREY HILL RD,ASHBURNHAM,"$235,959.00","$494,315.00","$235,959.00","$129,054.00","$106,559.00"
170,TWEEDOS VARIETY,3 DUNN RD,ASHBURNHAM,"$201,248.00","$359,816.00","$201,248.00","$179,453.50","$223,409.00"
171,ASHBY MARKET,MAIN ST,ASHBY,"$60,745.25","$113,113.75","$60,745.25","$53,893.75","$32,908.50"
172,CONVENIENT MART,1274 MAIN STREET,ASHBY,"$414,692.00","$273,161.00","$414,692.00","$749,568.00","$117,430.50"
173,NEIGHBORS,244 MAIN ST,ASHFIELD,"$303,128.00","$226,014.50","$303,128.00","$313,258.50","$262,893.75"
174,ALLTOWN #2724,272 POND ST,ASHLAND,"$280,193.00","$357,491.25","$280,193.00","$228,774.00","$193,300.50"
175,ASHLAND ALE HOUSE,23 POND STREET RT 126,ASHLAND,"$667,509.00","$482,195.00","$667,509.00","$555,058.00","$468,126.50"
176,ASHLAND CONV STORE,72 UNION ST RT 135,ASHLAND,"$2,604,023.00","$3,135,820.50","$2,604,023.00","$2,614,768.00","$2,343,574.00"
177,ASHLAND FISH & GAME,3 PONDEROSA RD,ASHLAND,"$126,564.50","$2,235.00","$126,564.50","$164,839.00","$163,666.50"
178,ASHLAND PUBLIC MARKET,197 MAIN ST,ASHLAND,"$315,715.50","$283,636.50","$315,715.50","$361,752.50","$351,638.75"
179,ASHLAND SHELL #74,123 UNION ST,ASHLAND,"$546,231.50","$637,373.25","$546,231.50","$271,894.75","$502,195.50"
180,BRASIL AMERICAN CONV,21 HOMER AVE,ASHLAND,"$95,739.50","$123,377.00","$95,739.50","$95,078.00","$66,995.50"
181,CHERRY BLOSSOM,80 UNION ST,ASHLAND,"$824,858.50","$672,868.00","$824,858.50","$736,067.00","$741,320.00"
